name,parent,value
FORMER DEMOCRATIC YEMEN,Origin,35484
FINLAND,Origin,776925
FIJI,Origin,11372
FEDERATION OF MALAYA-SINGAPORE,Origin,17509
FEDERATED STATES OF MICRONESIA,Origin,790
FEDERAL REPUBLIC OF GERMANY,Origin,7492600
FALKLAND ISLANDS (MALVINAS),Origin,1306
FAEROE ISLANDS,Origin,7258
ETHIOPIA,Origin,47083
ESTONIA,Origin,110541
ERITREA,Origin,3890
EQUATORIAL GUINEA,Origin,19961
EL SALVADOR,Origin,53364
EGYPT,Origin,1359663
ECUADOR,Origin,269698
EAST & WEST PAKISTAN,Origin,92059
DOMINICAN REPUBLIC,Origin,166099
DOMINICA,Origin,953
DJIBOUTI,Origin,4608
DENMARK,Origin,1034572
DEMOCRATIC REPUBLIC OF VIETNAM,Origin,24650
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),Origin,48722
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,Origin,1321886
CZECHOSLOVAKIA,Origin,3068081
CZECH REPUBLIC,Origin,741299
CYPRUS,Origin,65604
CURACAO,Origin,4662
CUBA,Origin,423839
CROATIA,Origin,123910
COTE D IVOIRE,Origin,78502
COSTA RICA,Origin,57130
COOK ISLANDS,Origin,494
CONGO,Origin,16601
COMOROS,Origin,1005
COLOMBIA,Origin,785909
CHRISTMAS ISLAND,Origin,363
CHINA (MAINLAND),Origin,47649834
CHILE,Origin,662510
CHAD,Origin,3356
CENTRAL AFRICAN REPUBLIC,Origin,2872
CAYMAN ISLANDS,Origin,3838
CAPE VERDE,Origin,2714
CANADA,Origin,8038299
CAMBODIA,Origin,22847
BURUNDI,Origin,2490
BURKINA FASO,Origin,11362
BULGARIA,Origin,957765
BRUNEI (DARUSSALAM),Origin,84018
BRITISH VIRGIN ISLANDS,Origin,1050
BRAZIL,Origin,3513002
BOTSWANA,Origin,29930
BOSNIA & HERZEGOVINA,Origin,93631
"BONAIRE, SAINT EUSTATIUS, AND SABA",Origin,261
BHUTAN,Origin,3025
BERMUDA,Origin,6911
BENIN,Origin,21898
BELIZE,Origin,4239
BELGIUM,Origin,3184611
BELARUS,Origin,386767
BARBADOS,Origin,13126
BANGLADESH,Origin,295157
BAHRAIN,Origin,198304
BAHAMAS,Origin,40904
AZERBAIJAN,Origin,217113
AUSTRIA,Origin,1360997
AUSTRALIA,Origin,4252724
ARUBA,Origin,14356
ARMENIA,Origin,25463
ARGENTINA,Origin,2013085
ANTIGUA & BARBUDA,Origin,5478
ANTARCTIC FISHERIES,Origin,42
ANGUILLA,Origin,706
ANGOLA,Origin,142188
ANDORRA,Origin,3332
ALGERIA,Origin,1003007
ALBANIA,Origin,70600
AFGHANISTAN,Origin,39133
